"","X","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score"
"272",271,58,"F","Town","Gold Membership","Yes","Without Offers","Both","Fiber_Optic",1600.12,15610.96,"13.0",725.74,"No","Yes","Yes","Solved in Follow-up","Poor Website",0
"273",272,23,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",54.12,24610.29,"10.0",653.38,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"276",275,16,"M","City","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",936.34,30998.94,"29.0",778.24,"Yes","Yes","Yes","Unsolved","No reason specified",0
"277",276,17,"M","Town","Silver Membership","No","Without Offers","Smartphone","Mobile_Data",352.25,31444.17,"10.0",668.44,"Yes","Yes","Yes","Solved","Too many ads",1
"278",277,11,"M","City","Premium Membership","No","Without Offers","Smartphone","Fiber_Optic",128.93,66961.7,"19.0",765.97,"No","Yes","No","Not Applicable","Quality Customer Care",0
"279",278,44,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",38.56,16717.72,"28.0",550.190086588655,"Yes","No","Yes","Solved in Follow-up","Poor Website",0
"280",279,16,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",220.07,45054.8,"12.0",623.93,"Yes","Yes","No","Not Applicable","Too many ads",1
"282",281,17,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",1053.12,15799.78,"28.0",945.431971421736,"Yes","Yes","Yes","Solved","Poor Product Quality",0
"283",282,35,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",263.58,34046.4,"9.0",649.88,"Yes","No","No","Not Applicable","Poor Customer Service",1
"288",287,62,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",103.42,36445.77,"Error",663.11,"Yes","No","No","Not Applicable","Poor Product Quality",1
"290",289,48,"M","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",58.73,39995.8,"28.0",708.74,"No","Yes","No","Not Applicable","Poor Customer Service",0
"293",292,21,"M","Town","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",164.87,49628.7,"15.0",188.192446865088,"Yes","No","No","Not Applicable","Too many ads",0
"297",296,38,"M","Village","No Membership","No","Without Offers","Desktop","Mobile_Data",376.93,31089.9,"25.0",1071.82476292146,"Yes","No","Yes","Solved","No reason specified",1
"298",297,12,"F","City","No Membership","Yes","Without Offers","Both","Fiber_Optic",619.2,44015.54,"9.0",826.426358440825,"Yes","Yes","No","Not Applicable","Poor Product Quality",1
"299",298,34,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",165.92,46167.97,"23.0",661.83,"No","Yes","No","Not Applicable","No reason specified",1
"302",301,15,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",766.04,44858.07,"18.0",689.99,"Yes","Yes","No","Not Applicable","Poor Customer Service",1
"304",303,55,"M","Town","Premium Membership","Yes","Without Offers","Smartphone","Mobile_Data",792.59,44496.31,"19.0",741.71,"Yes","No","No","Not Applicable","Too many ads",0
"305",304,59,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",629.37,23602.1,"11.0",742.41,"Yes","Yes","No","Not Applicable","Poor Website",0
"306",305,50,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",56.28,6124.94,"15.0",561.78,"No","Yes","No","Not Applicable","Poor Website",1
"307",306,48,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",200.46,40236.57,"21.0",647.61,"Yes","No","No","Not Applicable","No reason specified",1
"308",307,23,"F","City","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",1262.44458895349,12163.94,"11.0",677.29,"Yes","No","No","Not Applicable","Poor Customer Service",1
"310",309,33,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",260.92,70639.99,"-5.339638902288634",760.54,"No","Yes","No","Not Applicable","User Friendly Website",0
"311",310,49,"M","Town","No Membership","Yes","Without Offers","Smartphone","Wi-Fi",30.58,38036.67,"29.0",636.43,"Yes","No","Yes","Solved","Too many ads",1
"313",312,56,"F","Village","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",177.42,6280.96,"20.0",578.69,"Yes","No","Yes","No Information Available","No reason specified",1
"314",313,32,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",33.77,32673.05,"21.0",529.02,"No","Yes","No","Not Applicable","No reason specified",1
"315",314,52,"M","Village","Gold Membership","No","Without Offers","Desktop","Wi-Fi",33.5,50085.74,"4.0",1242.20099851238,"No","Yes","No","Not Applicable","Reasonable Price",0
"316",315,16,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",62.53,23123.43,"22.0",524.34,"Yes","No","No","Not Applicable","Too many ads",1
"317",316,48,"F","Village","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",583.96,38477.8,"13.0",608.37,"Yes","No","No","Not Applicable","No reason specified",1
"318",317,61,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",315.37,28202.86,"19.0",778.62,"Yes","No","No","Not Applicable","Poor Website",0
"319",318,33,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",146.24,2203.18,"15.0",301.544484354295,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"320",319,22,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",103.51,21574,"5.0",414.24615081698,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality",1
"323",322,50,"M","Village","Platinum Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",-431.082163122269,9508.56,"20.0",165.419456096964,"Yes","No","Yes","No Information Available","No reason specified",0
"324",323,12,"M","City","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",86.25,31792.97,"9.0",1098.60085112964,"No","Yes","Yes","No Information Available","Too many ads",1
"325",324,10,"M","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",78.93,49093.95,"28.0",791.99,"Yes","No","No","Not Applicable","Too many ads",0
"326",325,12,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",122.17,12440.72,"5.0",677.35,"No","Yes","Yes","No Information Available","Poor Website",1
"327",326,45,"F","Town","No Membership","Yes","Without Offers","Smartphone","Wi-Fi",1482.53,13626.01,"23.0",555.38,"Yes","Yes","No","Not Applicable","No reason specified",1
"328",327,14,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",385.72,18512.96,"Error",557.61,"Yes","Yes","Yes","Solved","No reason specified",1
"329",328,40,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",91.7,23406.99,"Error",668.48,"No","Yes","Yes","Solved","Too many ads",0
"330",329,25,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",31.84,11412.83,"53.571373398989465",703.86,"Yes","No","Yes","Solved in Follow-up","Poor Website",0
"333",332,13,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",150.97,85750.12,"6.0",785.69,"Yes","No","No","Not Applicable","Quality Customer Care",0
"334",333,33,"F","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",94.2,56741.77,"11.0",710.79,"No","Yes","No","Not Applicable","Reasonable Price",0
"335",334,47,"F","Town","Premium Membership","No","Without Offers","Smartphone","Mobile_Data",163.43,5843.93,"5.0",754.32,"No","Yes","Yes","No Information Available","Too many ads",0
"336",335,34,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",296.05,9945,"Error",638.91,"No","Yes","No","Not Applicable","Too many ads",1
"339",338,44,"M","Town","Premium Membership","No","Without Offers","Smartphone","Fiber_Optic",34.97,14545.9,"8.0",360.58246425944,"Yes","No","Yes","Unsolved","Poor Website",0
"340",339,17,"M","Village","Silver Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",349.92,25966.98,"9.0",659.95,"Yes","No","No","Not Applicable","Poor Customer Service",1
"343",342,16,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Mobile_Data",47.22,15403.3,"19.0",672.15,"No","Yes","No","Not Applicable","Poor Website",1
"345",344,52,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",502.02,28024.35,"8.0",1161.05766083867,"No","Yes","Yes","Solved","Poor Product Quality",1
"349",348,18,"F","Town","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",200.63,21330.47,"22.0",661.3,"No","Yes","No","Not Applicable","No reason specified",1
"352",351,59,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",1431.64654605611,56989.08,"7.0",727.58,"Yes","No","Yes","Unsolved","User Friendly Website",0
"357",356,18,"M","Town","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",260.08,15097.46,"11.0",773.63,"Yes","No","No","Not Applicable","Poor Product Quality",0
"361",360,49,"M","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",76.11,28870.14,"28.0",683.65,"Yes","No","Yes","No Information Available","Poor Product Quality",1
"363",362,41,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",1110.18953139758,49615.92,"24.0",786.64,"Yes","No","Yes","Solved","Poor Customer Service",0
"364",363,25,"F","Town","No Membership","No","Without Offers","Smartphone","Mobile_Data",305.27,28019.96,"7.0",608.54,"Yes","No","No","Not Applicable","Poor Product Quality",1
"365",364,36,"F","City","Gold Membership","Yes","Without Offers","Smartphone","Fiber_Optic",563.3,38221,"10.0",1296.66948084279,"No","Yes","Yes","Solved","Poor Customer Service",0
"366",365,16,"F","Village","No Membership","No","Credit/Debit Card Offers","Both","Fiber_Optic",237.14,5061.41,"10.0",989.973193087582,"Yes","Yes","No","Not Applicable","Poor Website",1
"367",366,30,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",58.85,46895.72,"16.0",792.09,"No","Yes","Yes","Unsolved","Too many ads",0
"371",370,49,"M","City","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",150.91,17129.53,"15.0",639.82,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"376",375,23,"F","City","No Membership","No","Without Offers","Smartphone","Fiber_Optic",215.75,33862.45,"Error",206.027629020571,"No","Yes","Yes","Solved in Follow-up","Too many ads",1
"380",379,29,"M","City","Basic Membership","No","Without Offers","Desktop","Wi-Fi",43.5,14431.86,"27.0",686.86,"Yes","No","No","Not Applicable","Poor Customer Service",1
"382",381,46,"M","Town","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",393.41,15462.29,"8.0",747.11,"No","Yes","Yes","No Information Available","No reason specified",0
"383",382,60,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",95.02,11757.89,"6.0",750.89,"Yes","No","No","Not Applicable","Too many ads",0
"384",383,61,"F","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",50.63,97688.49,"17.0",292.568680671938,"Yes","No","Yes","Solved","Reasonable Price",0
"385",384,56,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",34.08,34687.38,"15.0",717.96,"No","Yes","No","Not Applicable","Reasonable Price",0
"386",385,41,"M","City","Basic Membership","No","Without Offers","Smartphone","Mobile_Data",34.82,33188.16,"27.0",367.693021137953,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"387",386,59,"M","Town","Premium Membership","No","Credit/Debit Card Offers","Both","Fiber_Optic",1336.26970022624,36326.75,"Error",788.99,"No","Yes","No","Not Applicable","Poor Website",0
"388",387,29,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",201.06,8436.67,"6.0",1071.24332249054,"Yes","No","Yes","Solved","Products always in Stock",0
"389",388,28,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",348.67,38427.15,"29.0",700.81,"Yes","No","Yes","Unsolved","Poor Website",0
"390",389,56,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",42.78,43391.4,"28.0",436.088333802508,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service",1
"391",390,43,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",33.37,36894.82,"18.0",701.81,"No","Yes","No","Not Applicable","Poor Customer Service",0
"394",393,60,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",101.56,5132.55,"16.0",621.96,"No","Yes","Yes","Unsolved","Poor Product Quality",1
"395",394,35,"F","City","No Membership","No","Without Offers","Smartphone","Fiber_Optic",37.59,28432.23,"29.0",631.14,"No","Yes","Yes","Unsolved","Poor Product Quality",1
"402",401,54,"F","City","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",80.78,19793.69,"18.0",676.01,"No","Yes","No","Not Applicable","Too many ads",1
"405",404,36,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",119.69,48054.16,"20.0",606.57,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"406",405,55,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",156.18,14801.69,"12.0",645.38,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"407",406,24,"F","Village","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",58.11,7232.66,"8.0",673.32,"No","Yes","No","Not Applicable","Poor Product Quality",1
"410",409,28,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",-84.5112875803577,14084.16,"13.0",687.16,"Yes","Yes","No","Not Applicable","Poor Product Quality",0
"411",410,35,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",495.46,26812.57,"17.0",538.4,"Yes","Yes","Yes","Solved","Poor Website",1
"413",412,23,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",378.32,6289.63,"29.0",717,"No","Yes","No","Not Applicable","Too many ads",1
"419",418,30,"M","City","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",512.86,84959.24,"19.0",759.74,"No","Yes","No","Not Applicable","Reasonable Price",0
"420",419,29,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",523.17,48510.75,"12.0",1203.69330012593,"Yes","No","No","Not Applicable","Poor Product Quality",1
"422",421,54,"F","Village","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",388.92,46687.09,"20.0",951.689316278626,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"426",425,57,"F","City","Platinum Membership","No","Without Offers","Desktop","Wi-Fi",400.2,32446,"10.0",839,"Yes","No","No","Not Applicable","User Friendly Website",0
"427",426,56,"F","Village","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",34.14,26613.52,"25.0",708.39,"No","Yes","Yes","Unsolved","Too many ads",0
"429",428,36,"M","City","Basic Membership","No","Without Offers","Desktop","Wi-Fi",186.4,26284.13,"17.0",656.21,"Yes","No","No","Not Applicable","Poor Website",1
"434",433,26,"F","City","No Membership","Yes","Without Offers","Desktop","Mobile_Data",652.19,26519.82,"16.0",1466.43648007461,"Yes","Yes","No","Not Applicable","No reason specified",1
"435",434,16,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",130.05,17513.69,"29.0",535.24,"No","Yes","Yes","Unsolved","Too many ads",1
"437",436,23,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",32.83,49711.44,"26.0",485.020957757146,"No","Yes","No","Not Applicable","Too many ads",0
"438",437,25,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",529.07,6325.37,"23.0",744.6,"Yes","No","Yes","Unsolved","Poor Product Quality",0
"439",438,16,"M","Village","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",47.18,2242.41,"14.0",667.44,"No","Yes","No","Not Applicable","Poor Customer Service",1
"445",444,22,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",2732.7,79718.85,"5.0",824.45,"Yes","Yes","Yes","Solved in Follow-up","User Friendly Website",0
"446",445,19,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",213.38,14581.71,"18.0",713.31,"Yes","Yes","No","Not Applicable","Poor Customer Service",0
"449",448,20,"M","Village","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",-503.787290233472,30354.78,"13.0",1030.54194076777,"Yes","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"450",449,52,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",30.48,1911.99,"22.0",745.75,"Yes","No","Yes","No Information Available","Too many ads",0
"451",450,39,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",186.03,2353.19,"22.0",675.41,"Yes","No","No","Not Applicable","No reason specified",1
"452",451,20,"F","Village","Platinum Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",257.51,26394.03,"11.0",792.01,"No","Yes","No","Not Applicable","Reasonable Price",0
